st_rad,st_raerr,st_disterr1,st_masserr2,st_teffn,st_distn,pl_orbinclerr2,pl_bmassprov,pl_ttvflag,pl_orbeccenn,st_disterr2,ra_str,st_raderr2,pl_discmethod,pl_orbincllim,gaia_gmaglim,pl_bmassjlim,pl_orbperlim,pl_denslim,pl_bmassj,pl_orbsmaxlim,pl_dens,pl_denserr2,pl_radjlim,st_tefferr2,gaia_gmagerr,pl_orbsmaxerr1,st_tefflim,st_radn,pl_orbpererr1,pl_orbpererr2,pl_orbper,pl_orbeccenlim,rowupdate,pl_radj,pl_radn,pl_orbeccen,pl_orbsmaxerr2,pl_bmassn,pl_orbincl,st_decerr,st_posn,pl_letter,pl_hostname,pl_orbeccenerr2,pl_radjerr1,st_teff,pl_bmassjerr1,st_radlim,pl_orbincln,pl_orbinclerr1,pl_kepflag,pl_orbeccenerr1,st_massn,st_masslim,ra,dec_str,st_raderr1,st_optmaglim,pl_orbsmaxn,st_optmag,pl_pnum,st_dist,pl_nnotes,gaia_gmag,pl_orbsmax,pl_facility,st_optband,st_masserr1,pl_bmassjerr2,pl_controvflag,st_tefferr1,pl_densn,st_mass,st_distlim,pl_k2flag,st_optmagerr,pl_name,pl_orbpern,pl_radjerr2,dec,pl_denserr1
13.76,,,-0.63,,,,Msini,,,,,-2.45,,,,0,0,0,15.46400,0,14.900000,,0,,,0.000000,0,,0.06000000,-0.05000000,323.21000000,0,,1.090,,0.238000,0.000000,,,,,b,,-0.007000,,4874.00,0.12300,0,,,,0.007000,,0,185.1787793,,2.85,,,,,,2,,1.178000,,,0.64,-0.12500,,,,2.09,,,,11 Com b,,,17.7932516,
29.79,,,-0.69,,,,Msini,,,,,-2.84,,,,0,0,0,14.74000,0,13.800000,,0,-46.00,,0.070000,0,,3.20000000,-3.20000000,516.21997000,0,,1.090,,0.080000,-0.070000,,,,,b,,-0.030000,,4213.00,2.50000,0,,,,0.030000,,0,229.2745954,,2.84,,,,,,0,,1.530000,,,0.69,-2.50000,,46.00,,2.78,,,,11 UMi b,,,71.8239428,
11.55,,,-0.29,,,,Msini,,,,,-0.51,,,,0,0,0,3.55900,0,2.760000,,0,,,0.000000,0,,0.11000000,-0.12000000,186.76000000,0,,1.160,,0.000000,0.000000,,,,,b,,,,4888.00,0.11400,0,,,,,,0,352.8241500,,1.12,,,,,,0,,0.775000,,,0.43,-0.12200,,,,1.78,,,,14 And b,,,39.2358367,
0.93,,,-0.11,,,-3.241,Mass,,,,,-0.01,,0,,0,0,0,8.05300,0,7.030000,,0,-25.00,,0.109000,0,,1.67709000,-1.87256000,1765.03890000,0,,1.120,,0.373000,-0.120000,,144.652,,,b,,-0.006000,,5338.00,1.63200,0,,6.279,,0.008000,,0,242.6021014,,0.01,,,,,,0,,2.774000,,,0.11,-0.88300,,25.00,,0.91,,,,14 Her b,,,43.8163621,
1.13,,,-0.04,,,,Msini,,,,,-0.01,,,,0,0,0,1.78000,0,1.260000,,0,-8.00,,0.030000,0,,1.00000000,-1.00000000,798.50000000,0,,1.200,,0.680000,-0.030000,,,,,b,,-0.020000,,5750.00,0.08000,0,,,,0.020000,,0,295.4656422,,0.01,,,,,,5,,1.660000,,,0.04,-0.08000,,8.00,,1.08,,,,16 Cyg B b,,,50.5168243,
25.92,,,-0.14,,,,Msini,,,,,-0.74,,,,0,0,0,4.32000,0,3.510000,,0,-10.00,,0.020000,0,,2.01000000,-2.09000000,578.38000000,0,,1.150,,0.060000,-0.020000,,,,,b,,-0.020000,,4157.00,0.15000,0,,,,0.030000,,0,243.4620874,,0.78,,,,,,,,1.450000,,,0.13,-0.12000,,11.00,,1.22,,,,17 Sco b,,,-11.8377905,
8.80,,,-0.09,,,,Msini,,,,,-0.40,,,,0,0,0,9.20700,0,8.230000,,0,,,0.002000,0,,1.06000000,-0.92000000,982.85000000,0,,1.120,,0.024000,-0.002000,,,,,b,,-0.018000,,4980.00,0.16000,0,,,,0.007000,,0,314.6078375,,0.61,,,,,,2,,2.476000,,,0.13,-0.07700,,,,2.10,,,,18 Del b,,,10.8391378,
1.31,,,-0.10,,,,Mass,,,,,-0.10,,,,0,,0,8.00000,0,2.540000,,0,-200.00,,,0,,,,,,,1.664,,,,,,,,b,,,,4060.00,1.00000,0,,,,,,0,242.3762343,,0.18,,,,,,0,,330.000000,,,0.20,-1.00000,,300.00,,0.85,,,,1RXS J160929.1-210524 b,,,-21.0831403,
12.19,,,-0.18,,,,Msini,,,,,-1.28,,,,0,0,0,0.88300,0,0.574000,,0,,,0.000000,0,,0.00000000,-0.01000000,30.33000000,0,,1.240,,0.032000,0.000000,,,,,b,,-0.023000,,4816.00,0.03600,0,,,,0.039000,,0,217.1555242,,1.45,,,,,,0,,0.194000,,,0.27,-0.04300,,,,1.05,,,,24 Boo b,,,49.8446488,
4.90,,,-0.08,,,,Msini,,,,,-0.08,,,,0,0,0,1.99000,0,1.440000,,0,-44.00,,0.004000,0,,2.10000000,-4.50000000,452.80000000,0,,1.190,,0.090000,-0.009000,,,,,b,,-0.060000,,5098.00,0.26000,0,,,,0.140000,,0,155.8684866,,0.08,,,,,,0,,1.333000,,,0.08,-0.38000,,44.00,,1.54,,,,24 Sex b,,,-0.9023998,
